00010100110110   00011   01100,0100 hit 
00010100110101   00111   10000,0100 hit 
00010100110101   01011   10000,0100 hit 
00010100110101   01111   10000,0100 hit 
00010100110101   10011   10000,0100 miss eviction 
00010100110101   10111   10000,0100 miss eviction 
00010100110101   11011   10000,0100 hit 
00010100110101   11111   10000,0100 hit 
00010100110110   00011   10000,0100 hit 
00010100110101   00111   10100,0100 hit 
00010100110101   01011   10100,0100 hit 
00010100110101   01111   10100,0100 hit 
00010100110101   10011   10100,0100 hit 
00010100110101   10111   10100,0100 miss eviction 
00010100110101   11011   10100,0100 miss eviction 
00010100110101   11111   10100,0100 hit 
00010100110110   00011   10100,0100 hit 
00010100110101   00111   11000,0100 hit 
00010100110101   01011   11000,0100 hit 
00010100110101   01111   11000,0100 hit 
00010100110101   10011   11000,0100 hit 
00010100110101   10111   11000,0100 hit 
00010100110101   11011   11000,0100 miss eviction 
00010100110101   11111   11000,0100 miss eviction 
00010100110110   00011   11000,0100 hit 
00010100110101   00111   11100,0100 hit 
00010100110101   01011   11100,0100 hit 
00010100110101   01111   11100,0100 hit 
00010100110101   10011   11100,0100 hit 
00010100110101   10111   11100,0100 hit 
00010100110101   11011   11100,0100 hit 
00010100110101   11111   11100,0100 miss eviction 
00010100110110   00011   11100,0100 miss eviction 
00010100110110   00111   00000,0100 miss eviction 
00010100110110   01011   00000,0100 miss eviction 
00010100110110   01111   00000,0100 miss eviction 
00010100110110   10011   00000,0100 miss eviction 
00010100110110   10111   00000,0100 miss eviction 
00010100110110   11011   00000,0100 miss eviction 
00010100110110   11111   00000,0100 miss eviction 
00010100110111   00011   00000,0100 miss eviction 
00010100110110   00111   00100,0100 hit 
00010100110110   01011   00100,0100 hit 
00010100110110   01111   00100,0100 hit 
00010100110110   10011   00100,0100 hit 
00010100110110   10111   00100,0100 hit 
00010100110110   11011   00100,0100 hit 
00010100110110   11111   00100,0100 hit 
00010100110111   00011   00100,0100 hit 
00010100110110   00111   01000,0100 hit 
00010100110110   01011   01000,0100 hit 
00010100110110   01111   01000,0100 hit 
00010100110110   10011   01000,0100 hit 
00010100110110   10111   01000,0100 hit 
00010100110110   11011   01000,0100 hit 
00010100110110   11111   01000,0100 hit 
00010100110111   00011   01000,0100 hit 
00010100110110   00111   01100,0100 hit 
00010100110110   01011   01100,0100 hit 
00010100110110   01111   01100,0100 hit 
00010100110110   10011   01100,0100 hit 
00010100110110   10111   01100,0100 hit 
00010100110110   11011   01100,0100 hit 
00010100110110   11111   01100,0100 hit 
00010100110111   00011   01100,0100 hit 
00010100110110   00111   10000,0100 hit 
00010100110110   01011   10000,0100 hit 
00010100110110   01111   10000,0100 hit 
00010100110110   10011   10000,0100 hit 
00010100110110   10111   10000,0100 hit 
00010100110110   11011   10000,0100 hit 
00010100110110   11111   10000,0100 hit 
00010100110111   00011   10000,0100 hit 
00010100110110   00111   10100,0100 hit 
00010100110110   01011   10100,0100 hit 
00010100110110   01111   10100,0100 hit 
00010100110110   10011   10100,0100 hit 
00010100110110   10111   10100,0100 hit 
00010100110110   11011   10100,0100 hit 
00010100110110   11111   10100,0100 hit 
00010100110111   00011   10100,0100 hit 
00010100110110   00111   11000,0100 hit 
00010100110110   01011   11000,0100 hit 
00010100110110   01111   11000,0100 hit 
00010100110110   10011   11000,0100 hit 
00010100110110   10111   11000,0100 hit 
00010100110110   11011   11000,0100 hit 
00010100110110   11111   11000,0100 hit 
00010100110111   00011   11000,0100 hit 
00010100110110   00111   11100,0100 hit 
00010100110110   01011   11100,0100 hit 
00010100110110   01111   11100,0100 hit 
00010100110110   10011   11100,0100 hit 
00010100110110   10111   11100,0100 hit 
00010100110110   11011   11100,0100 hit 
00010100110110   11111   11100,0100 hit 
00010100110111   00011   11100,0100 hit 
00010100110111   00111   00000,0100 miss eviction 
00010100110111   01011   00000,0100 miss eviction 
00010100110111   01111   00000,0100 miss eviction 
00010100110111   10011   00000,0100 miss eviction 
00010100110111   10111   00000,0100 miss eviction 
00010100110111   11011   00000,0100 miss eviction 
00010100110111   11111   00000,0100 miss eviction 
00010100111000   00011   00000,0100 miss eviction 
00010100110111   00111   00100,0100 hit 
00010100110111   01011   00100,0100 hit 
00010100110111   01111   00100,0100 hit 
00010100110111   10011   00100,0100 hit 
00010100110111   10111   00100,0100 hit 
00010100110111   11011   00100,0100 hit 
00010100110111   11111   00100,0100 hit 
00010100111000   00011   00100,0100 hit 
00010100110111   00111   01000,0100 hit 
00010100110111   01011   01000,0100 hit 
00010100110111   01111   01000,0100 hit 
00010100110111   10011   01000,0100 hit 
00010100110111   10111   01000,0100 hit 
00010100110111   11011   01000,0100 hit 
00010100110111   11111   01000,0100 hit 
00010100111000   00011   01000,0100 hit 
00010100110111   00111   01100,0100 hit 
00010100110111   01011   01100,0100 hit 
00010100110111   01111   01100,0100 hit 
00010100110111   10011   01100,0100 hit 
00010100110111   10111   01100,0100 hit 
00010100110111   11011   01100,0100 hit 
00010100110111   11111   01100,0100 hit 
00010100111000   00011   01100,0100 hit 
00010100110111   00111   10000,0100 hit 
00010100110111   01011   10000,0100 hit 
00010100110111   01111   10000,0100 hit 
00010100110111   10011   10000,0100 hit 
00010100110111   10111   10000,0100 hit 
00010100110111   11011   10000,0100 hit 
00010100110111   11111   10000,0100 hit 
00010100111000   00011   10000,0100 hit 
00010100110111   00111   10100,0100 hit 
00010100110111   01011   10100,0100 hit 
00010100110111   01111   10100,0100 hit 
00010100110111   10011   10100,0100 hit 
00010100110111   10111   10100,0100 hit 
00010100110111   11011   10100,0100 hit 
00010100110111   11111   10100,0100 hit 
00010100111000   00011   10100,0100 hit 
00010100110111   00111   11000,0100 hit 
00010100110111   01011   11000,0100 hit 
00010100110111   01111   11000,0100 hit 
00010100110111   10011   11000,0100 hit 
00010100110111   10111   11000,0100 hit 
00010100110111   11011   11000,0100 hit 
00010100110111   11111   11000,0100 hit 
00010100111000   00011   11000,0100 hit 
00010100110111   00111   11100,0100 hit 
00010100110111   01011   11100,0100 hit 
00010100110111   01111   11100,0100 hit 
00010100110111   10011   11100,0100 hit 
00010100110111   10111   11100,0100 hit 
00010100110111   11011   11100,0100 hit 
00010100110111   11111   11100,0100 hit 
00010100111000   00011   11100,0100 hit 
00010100110100   01000   00000,0100 miss eviction 
00010100110100   01100   00000,0100 miss eviction 
00010100110100   10000   00000,0100 miss eviction 
00010100110100   10100   00000,0100 miss eviction 
00010100110100   11000   00000,0100 miss eviction 
00010100110100   11100   00000,0100 miss eviction 
00010100110101   00000   00000,0100 miss eviction 
00010100110101   00100   00000,0100 miss eviction 
00010100110100   01000   00100,0100 hit 
00010100110100   01100   00100,0100 hit 
00010100110100   10000   00100,0100 hit 
00010100110100   10100   00100,0100 hit 
00010100110100   11000   00100,0100 hit 
00010100110100   11100   00100,0100 hit 
00010100110101   00000   00100,0100 hit 
00010100110101   00100   00100,0100 hit 
00010100110100   01000   01000,0100 hit 
00010100110100   01100   01000,0100 hit 
00010100110100   10000   01000,0100 hit 
00010100110100   10100   01000,0100 hit 
00010100110100   11000   01000,0100 hit 
00010100110100   11100   01000,0100 hit 
00010100110101   00000   01000,0100 hit 
00010100110101   00100   01000,0100 hit 
00010100110100   01000   01100,0100 hit 
00010100110100   01100   01100,0100 hit 
